"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Update user","299","testPatchUser","Surefire suite","Tue Feb 04 21:12:06 GMT 2025","passed","Tue Feb 04 21:12:06 GMT 2025","api.tests.rita.ApiTest","Surefire test","api.tests.rita.ApiTest","testPatchUser"
"Create user","326","testPostUserResponse","Surefire suite","Tue Feb 04 21:12:16 GMT 2025","passed","Tue Feb 04 21:12:16 GMT 2025","api.tests.FirstApiTest","Surefire test","api.tests.FirstApiTest","testPostUserResponse"
"Get list Of Users Not Found","146","testSingleUserNotExist","Surefire suite","Tue Feb 04 21:12:13 GMT 2025","passed","Tue Feb 04 21:12:13 GMT 2025","api.tests.Diana.RegresTest","Surefire test","api.tests.Diana.RegresTest","testSingleUserNotExist"
"Register a user","307","testRegisterUser","Surefire suite","Tue Feb 04 21:12:06 GMT 2025","passed","Tue Feb 04 21:12:07 GMT 2025","api.tests.rita.ApiTest","Surefire test","api.tests.rita.ApiTest","testRegisterUser"
"Get single resource","167","testGetSingleResource","Surefire suite","Tue Feb 04 21:12:01 GMT 2025","passed","Tue Feb 04 21:12:01 GMT 2025","api.tests.rita.ApiTest","Surefire test","api.tests.rita.ApiTest","testGetSingleResource"
"Get single user","516","testGetSingleUser","Surefire suite","Tue Feb 04 21:12:00 GMT 2025","passed","Tue Feb 04 21:12:01 GMT 2025","api.tests.rita.ApiTest","Surefire test","api.tests.rita.ApiTest","testGetSingleUser"
"Update single user","327","testUpdateUserPatch","Surefire suite","Tue Feb 04 21:12:13 GMT 2025","passed","Tue Feb 04 21:12:13 GMT 2025","api.tests.Diana.RegresTest","Surefire test","api.tests.Diana.RegresTest","testUpdateUserPatch"
"Get list of users","2602","testGetListUsers","Surefire suite","Tue Feb 04 21:11:58 GMT 2025","passed","Tue Feb 04 21:12:00 GMT 2025","api.tests.rita.ApiTest","Surefire test","api.tests.rita.ApiTest","testGetListUsers"
"Get user not found","168","testSingleUserNotFound","Surefire suite","Tue Feb 04 21:12:16 GMT 2025","passed","Tue Feb 04 21:12:17 GMT 2025","api.tests.FirstApiTest","Surefire test","api.tests.FirstApiTest","testSingleUserNotFound"
"Get list Of resource","172","testGetListOfResource","Surefire suite","Tue Feb 04 21:12:11 GMT 2025","passed","Tue Feb 04 21:12:11 GMT 2025","api.tests.Diana.RegresTest","Surefire test","api.tests.Diana.RegresTest","testGetListOfResource"
"Get single user","184","testSingleUser","Surefire suite","Tue Feb 04 21:12:16 GMT 2025","passed","Tue Feb 04 21:12:16 GMT 2025","api.tests.FirstApiTest","Surefire test","api.tests.FirstApiTest","testSingleUser"
"Get list Of resource id not found","331","testSingleResourceIdNotExist","Surefire suite","Tue Feb 04 21:12:12 GMT 2025","passed","Tue Feb 04 21:12:13 GMT 2025","api.tests.Diana.RegresTest","Surefire test","api.tests.Diana.RegresTest","testSingleResourceIdNotExist"
"Get list of users","191","testGetListUsers","Surefire suite","Tue Feb 04 21:12:15 GMT 2025","passed","Tue Feb 04 21:12:16 GMT 2025","api.tests.FirstApiTest","Surefire test","api.tests.FirstApiTest","testGetListUsers"
"Create user","336","testPostUser","Surefire suite","Tue Feb 04 21:12:16 GMT 2025","passed","Tue Feb 04 21:12:16 GMT 2025","api.tests.FirstApiTest","Surefire test","api.tests.FirstApiTest","testPostUser"
"Delayed response","3348","testDelayedResponse","Surefire suite","Tue Feb 04 21:12:08 GMT 2025","passed","Tue Feb 04 21:12:11 GMT 2025","api.tests.Diana.RegresTest","Surefire test","api.tests.Diana.RegresTest","testDelayedResponse"
"Delete single user","315","testDeleteUser","Surefire suite","Tue Feb 04 21:12:11 GMT 2025","passed","Tue Feb 04 21:12:11 GMT 2025","api.tests.Diana.RegresTest","Surefire test","api.tests.Diana.RegresTest","testDeleteUser"
"Login successful","329","testUserLoginRegister","Surefire suite","Tue Feb 04 21:12:13 GMT 2025","passed","Tue Feb 04 21:12:14 GMT 2025","api.tests.Diana.RegresTest","Surefire test","api.tests.Diana.RegresTest","testUserLoginRegister"
